WAT_Id;btxoms;btccod;btlcod;sgkcod;sgkoms;KROSPAR;OSPAR;OSPAR_EUC;Trofie;DiatomeeFlagellaat;DiatDinoOverig;Fylum;Klasse;GenusPlus;ID_old;GEEL;Ecologische informatie;Opmerkingen;btxoms1990;sgkcod1990;btxoms1993;sgkcod1993;btxoms1994;sgkcod1994;btxoms1999;sgkcod1999;btxoms2003;sgkcod2003;BIOVLME_;BIOMSA_;CHLFa_
185;Rhizosolenia similoides;5231406170;RZSOSIMI;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;553;0;;vorm van R. setigera, niet onderscheiden in 1) en 2b);Rhizosolenia setigera;NVT;Rhizosolenia setigera;NVT;Rhizosolenia setigera;NVT;Rhizosolenia setigera;NVT;Rhizosolenia similoides;NVT;4021;;50
186;Rhizosolenia spec 6989;5231406990;RZSOSPEA;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;554;0;;;Rhizosolenia fragilissima;NVT;Rhizosolenia fragilissima;NVT;Rhizosolenia fragilissima;NVT;Rhizosolenia fragilissima;NVT;Rhizosolenia spec 6989;NVT;9;;50
181;Rhizosolenia stolterfothii;5231406130;RZSOSTOL;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;555;0;;;Rhizosolenia stolterfothii;NVT;Rhizosolenia stolterfothii;NVT;Rhizosolenia stolterfothii;NVT;Rhizosolenia stolterfothii;NVT;Rhizosolenia stolterfothii;NVT;6786;;50
182;Rhizosolenia styliformis;5231406140;RZSOSTYL;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;556;1;;;Rhizosolenia styliformis;NVT;Rhizosolenia styliformis;NVT;Rhizosolenia styliformis;NVT;Rhizosolenia styliformis;NVT;Rhizosolenia styliformis;NVT;1696;;50
324;Rhoicosphenia;5232423000;RHSPSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhoicosphenia;557;0;zoetwatersoort;In 1) en 2b) geteld als pennales;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Rhoicosphenia;NVT;Rhoicosphenia;NVT;1325;;50
162;Roperia tesselata;5231304010;ROPETESS;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Roperia;558;0;off-shore;In 1) vermoedelijk (deels) geteld als Thalassiosira;Thalassiosira;DU030080;Thalassiosira;DU030080;Roperia tesselata;NVT;Roperia tesselata;NVT;Roperia tesselata;NVT;29452;;50
33;Scenedesmus;5115211000;SCENSPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Scenedesmus;559;1;zoetwatersoort;In 1), 2b) en 4) zijn alle waarnemingen geteld als Scenedesmus;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;13;;50
34;Scenedesmus bicaudatus;5115211120;SCENBICA;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Scenedesmus;560;0;zoetwatersoort;In 1), 2b) en 4) zijn alle waarnemingen geteld als Scenedesmus en zijn geen afzonderlijke soorten onderscheiden;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus bicaudatus;NVT;13;;50
35;Scenedesmus brevispina;5115211160;SCENBREV;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Scenedesmus;561;0;zoetwatersoort;In 1), 2b) en 4) zijn alle waarnemingen geteld als Scenedesmus en zijn geen afzonderlijke soorten onderscheiden;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus brevispina;NVT;13;;50
36;Scenedesmus falcatus;5115211370;SCENFALC;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Scenedesmus;562;0;zoetwatersoort;In 1), 2b) en 4) zijn alle waarnemingen geteld als Scenedesmus en zijn geen afzonderlijke soorten onderscheiden;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus falcatus;NVT;13;;50
37;Scenedesmus intermedius;5115211450;SCENINTE;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Scenedesmus;563;0;zoetwatersoort;In 1), 2b) en 4) zijn alle waarnemingen geteld als Scenedesmus en zijn geen afzonderlijke soorten onderscheiden;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus intermedius;NVT;13;;50
38;Scenedesmus lefevrei;5115211470;SCENLEFE;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Scenedesmus;564;0;zoetwatersoort;In 1), 2b) en 4) zijn alle waarnemingen geteld als Scenedesmus en zijn geen afzonderlijke soorten onderscheiden;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus lefevrei;NVT;13;;50
39;Scenedesmus quadricauda;5115211620;SCENQUAD;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Scenedesmus;565;0;zoetwatersoort;In 1), 2b) en 4) zijn alle waarnemingen geteld als Scenedesmus en zijn geen afzonderlijke soorten onderscheiden;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus;NVT;Scenedesmus quadricauda;NVT;13;;50
701;Scrippsiella;5252712000;SCRISPEC;CYSTE;Cyste;;;;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Scrippsiella;;0;;mjl: in 1990-93 ook opgenomen onder Dinophyceae;Dinophyceae;NVT;Dinophyceae;NVT;Dinophyceae;NVT;Dinophyceae;NVT;Scrippsiella;NVT;4189;;50
481;Scrippsiella;5252712000;SCRISPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Scrippsiella;566;0;;"In 1990 zijn alle waarnemingen van Scrippsiella >20æm geteld als Scrippsiella trochoidea, kleinere S. zijn geteld als Dinophyceae. In '91-'94 zijn S. <20æm geteld als S. en grotere als S. trochoidea; In 4) zijn alle waarnemingen van S. genoteerd als S. (b";Scrippsiella;NVT;Scrippsiella;NVT;Scrippsiella;NVT;Scrippsiella;NVT;Scrippsiella;NVT;2145;;50
