speciesname_original;modified;speciesname_corrected;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;;;;;;;;;;;;;;;;;;;;;
Radiolaria;;Radiolaria;196831;exact;urn:lsid:marinespecies.org:taxname:196831;46088;Radiolaria;Muller, 1858;Checked by Taxonomic Editor;unaccepted;582421;Radiozoa;;Protozoa;Sarcomastigophora;;;;;;;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Radiolaria. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=196831 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Alexandrium peruvianum;;Alexandrium peruvianum;233465;exact;urn:lsid:marinespecies.org:taxname:233465;;Alexandrium peruvianum;(Balech & Mendiola) Balech & Tangen, 1985;Checked by Taxonomic Editor;unaccepted;109712;Alexandrium ostenfeldii;(Paulsen) Balech & Tangen, 1985;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Ostreopsidaceae;Alexandrium;;peruvianum;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium peruvianum (Balech & Mendiola) Balech & Tangen, 1985. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=233465 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Sinophysis stenosoma;;Sinophysis stenosoma;232532;exact;urn:lsid:marinespecies.org:taxname:232532;;Sinophysis stenosoma;Hoppenrath, 2000;Checked by Taxonomic Editor;accepted;232532;Sinophysis stenosoma;Hoppenrath, 2000;Chromista;Myzozoa;Dinophyceae;Dinophysiales;Dinophysiaceae;Sinophysis;;stenosoma;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sinophysis stenosoma Hoppenrath, 2000. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=232532 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Lebouraia minuta;;Lebouraia minuta;110204;exact;urn:lsid:marinespecies.org:taxname:110204;;Lebouraia minuta;T.H.Abé, 1941;Checked by Taxonomic Editor;accepted;110204;Lebouraia minuta;T.H.Abé, 1941;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Lebouraia;;minuta;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Lebouraia minuta T.H.Abé, 1941. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110204 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Bacterosira fragilis;;Bacterosira fragilis;162936;exact;urn:lsid:marinespecies.org:taxname:162936;;Bacterosira fragilis;(Gran) Gran, 1900;Edited by Database Management Team;alternate representation;162933;Lauderia fragilis;Gran, 1897;Chromista;Ochrophyta;Bacillariophyceae;;;Bacterosira;;fragilis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Bacterosira fragilis (Gran) Gran, 1900. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=162936 on 2019-01-31;;
Oxytoxum gracile;;Oxytoxum gracile;233870;exact;urn:lsid:marinespecies.org:taxname:233870;573461;Oxytoxum gracile;Schiller, 1937;Checked by Taxonomic Editor;accepted;233870;Oxytoxum gracile;Schiller, 1937;Chromista;Myzozoa;Dinophyceae;Peridiniales;Oxytoxaceae;Oxytoxum;;gracile;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Oxytoxum gracile Schiller, 1937. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=233870 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Kolkwitziellaceae;;Kolkwitziellaceae;231845;exact;urn:lsid:marinespecies.org:taxname:231845;573290;Kolkwitziellaceae;Lindemann, 1928;Added by Database Management Team;unaccepted;109435;Protoperidiniaceae;J.P. Bujak & E.H. Davies;Chromista;Myzozoa;Dinophyceae;Peridiniales;Kolkwitziellaceae;;;;;;;;;WoRMS (2019). Kolkwitziellaceae Lindemann, 1928. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=231845 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Proterythropsis;;Proterythropsis;231794;exact;urn:lsid:marinespecies.org:taxname:231794;10135;Proterythropsis;Kofoid & Swezy, 1920;Checked by Taxonomic Editor;accepted;231794;Proterythropsis;Kofoid & Swezy, 1920;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Warnowiaceae;Proterythropsis;;;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Proterythropsis Kofoid & Swezy, 1920. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=231794 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Cymbomonas tetramitiformis;;Cymbomonas tetramitiformis;134545;exact;urn:lsid:marinespecies.org:taxname:134545;;Cymbomonas tetramitiformis;Schiller, 1913;Checked by Taxonomic Editor;accepted;134545;Cymbomonas tetramitiformis;Schiller, 1913;Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Cymbomonas;;tetramitiformis;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cymbomonas tetramitiformis Schiller, 1913. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=134545 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Gyrodinium pingue;;Gyrodinium pingue;109872;exact;urn:lsid:marinespecies.org:taxname:109872;10085;Gyrodinium pingue;(Schütt) Kofoid & Swezy, 1921;Checked by Taxonomic Editor;accepted;109872;Gyrodinium pingue;(Schütt) Kofoid & Swezy, 1921;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;;pingue;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gyrodinium pingue (Schütt) Kofoid & Swezy, 1921. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=109872 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Actinocyclus;;Actinocyclus;148944;exact;urn:lsid:marinespecies.org:taxname:148944;2655;Actinocyclus;C.G. Ehrenberg, 1837;Edited by Database Management Team;accepted;148944;Actinocyclus;C.G. Ehrenberg, 1837;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;;;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Actinocyclus C.G. Ehrenberg, 1837. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148944 on 2019-01-31;;
Diplopsalopsis latipeltata;;Diplopsalopsis latipeltata;110138;exact;urn:lsid:marinespecies.org:taxname:110138;;Diplopsalopsis latipeltata;Balech & Borgese, 1990;Checked by Taxonomic Editor;accepted;110138;Diplopsalopsis latipeltata;Balech & Borgese, 1990;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Diplopsalopsis;;latipeltata;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Diplopsalopsis latipeltata Balech & Borgese, 1990. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110138 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Pseudoscourfieldia marina;;Pseudoscourfieldia marina;134566;exact;urn:lsid:marinespecies.org:taxname:134566;;Pseudoscourfieldia marina;(J.Throndsen) Manton, 1975;Checked by Taxonomic Editor;accepted;134566;Pseudoscourfieldia marina;(J.Throndsen) Manton, 1975;Plantae;Chlorophyta;Pyramimonadophyceae;Pseudoscourfieldiales;Pycnococcaceae;Pseudoscourfieldia;;marina;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pseudoscourfieldia marina (J.Throndsen) Manton, 1975. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=134566 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Amphidoma acuminata;;Amphidoma acuminata;233194;exact;urn:lsid:marinespecies.org:taxname:233194;;Amphidoma acuminata;Stein, 1883;Checked by Taxonomic Editor;accepted;233194;Amphidoma acuminata;Stein, 1883;Chromista;Myzozoa;Dinophyceae;Dinophyceae incertae sedis;Amphidomataceae;Amphidoma;;acuminata;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amphidoma acuminata Stein, 1883. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=233194 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Cerataulus radiatus;;Cerataulus radiatus;178126;exact;urn:lsid:marinespecies.org:taxname:178126;;Cerataulus radiatus;R.Ross, 1986;Edited by Database Management Team;uncertain;178126;Cerataulus radiatus;R.Ross, 1986;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Cerataulus;;radiatus;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Cerataulus radiatus R.Ross, 1986. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=178126 on 2019-01-31;;
Meuniera membranacea;;Meuniera membranacea;149145;exact;urn:lsid:marinespecies.org:taxname:149145;615896;Meuniera membranacea;(Cleve) P.C.Silva, 1996;Edited by Database Management Team;alternate representation;149232;Navicula membranacea;Cleve, 1897;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Naviculaceae;Meuniera;;membranacea;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Meuniera membranacea (Cleve) P.C.Silva, 1996. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149145 on 2019-01-31;;
Phacus;;Phacus;163339;exact;urn:lsid:marinespecies.org:taxname:163339;9766;Phacus;Dujardin, 1841;Checked by Taxonomic Editor;accepted;163339;Phacus;Dujardin, 1841;Protozoa;Euglenozoa;Euglenoidea;Euglenida;Phacaceae;Phacus;;;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Phacus Dujardin, 1841. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163339 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Pyrocystis hamulus;;Pyrocystis hamulus;232259;exact;urn:lsid:marinespecies.org:taxname:232259;10554;Pyrocystis hamulus;Cleve, 1900;Checked by Taxonomic Editor;accepted;232259;Pyrocystis hamulus;Cleve, 1900;Chromista;Myzozoa;Dinophyceae;Pyrocystales;Pyrocystaceae;Pyrocystis;;hamulus;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyrocystis hamulus Cleve, 1900. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=232259 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Chrysococcus;;Chrysococcus;248110;exact;urn:lsid:marinespecies.org:taxname:248110;1751;Chrysococcus;Klebs, 1892;Checked by Taxonomic Editor;accepted;248110;Chrysococcus;Klebs, 1892;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryaceae;Chrysococcus;;;;;;1;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chrysococcus Klebs, 1892. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=248110 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Odontella rhombus f. trigona;;Odontella rhombus f. trigona;163292;exact;urn:lsid:marinespecies.org:taxname:163292;610144;Odontella rhombus f. trigona;(Cleve ex Van Heurck) R. Ross in Hartley, 1986;Edited by Database Management Team;alternate representation;671778;Biddulphia rhombus var. trigona;Cleve ex Van Heurck, 1882;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Odontella;;rhombus;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Odontella rhombus f. trigona (Cleve ex Van Heurck) R. Ross in Hartley, 1986. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163292 on 2019-01-31;;
Calycomonas;;Calycomonas;160548;exact;urn:lsid:marinespecies.org:taxname:160548;1747;Calycomonas;Lohmann, 1908;Checked by Taxonomic Editor;accepted;160548;Calycomonas;Lohmann, 1908;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysococcaceae;Calycomonas;;;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Calycomonas Lohmann, 1908. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160548 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Thalassiosira angulata;;Thalassiosira angulata;148913;exact;urn:lsid:marinespecies.org:taxname:148913;573679;Thalassiosira angulata;(W.Gregory) Hasle, 1978;Edited by Database Management Team;alternate representation;966467;Orthosira angulata;Gregory, 1857;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;angulata;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira angulata (W.Gregory) Hasle, 1978. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148913 on 2019-01-31;;
Pleurosigma aestuarii;;Pleurosigma aestuarii;149506;exact;urn:lsid:marinespecies.org:taxname:149506;4605;Pleurosigma aestuarii;(Brébisson ex Kützing) W.Smith, 1853;Edited by Database Management Team;accepted;149506;Pleurosigma aestuarii;(Brébisson ex Kützing) W.Smith, 1853;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Pleurosigma;;aestuarii;;1;1;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Pleurosigma aestuarii (Brébisson ex Kützing) W.Smith, 1853. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149506 on 2019-01-31;;
Prorocentrum scutellum;;Prorocentrum scutellum;110314;exact;urn:lsid:marinespecies.org:taxname:110314;9884;Prorocentrum scutellum;Schröder, 1900;Checked by Taxonomic Editor;accepted;110314;Prorocentrum scutellum;Schröder, 1900;Chromista;Myzozoa;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;;scutellum;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prorocentrum scutellum Schröder, 1900. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110314 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Dissodinium pseudocalani;;Dissodinium pseudocalani;110324;exact;urn:lsid:marinespecies.org:taxname:110324;;Dissodinium pseudocalani;(Gonnert) Drebes ex Elbrachter & Drebes, 1978;Checked by Taxonomic Editor;accepted;110324;Dissodinium pseudocalani;(Gonnert) Drebes ex Elbrachter & Drebes, 1978;Chromista;Myzozoa;Dinophyceae;Pyrocystales;Pyrocystaceae;Dissodinium;;pseudocalani;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dissodinium pseudocalani (Gonnert) Drebes ex Elbrachter & Drebes, 1978. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110324 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Chaetoceros radicans;;Chaetoceros radicans;163112;exact;urn:lsid:marinespecies.org:taxname:163112;2822;Chaetoceros radicans;F.Schütt, 1895;Edited by Database Management Team;uncertain;163112;Chaetoceros radicans;F.Schütt, 1895;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;radicans;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros radicans F.Schütt, 1895. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163112 on 2019-01-31;;
Oxyrrhis marina;;Oxyrrhis marina;109902;exact;urn:lsid:marinespecies.org:taxname:109902;10146;Oxyrrhis marina;Dujardin, 1841;Checked by Taxonomic Editor;accepted;109902;Oxyrrhis marina;Dujardin, 1841;Chromista;Myzozoa;Dinophyceae;Oxyrrhinales;Oxyrrhinaceae;Oxyrrhis;;marina;;1;1;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Oxyrrhis marina Dujardin, 1841. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109902 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Chaetoceros externus;;Chaetoceros externus;160522;exact;urn:lsid:marinespecies.org:taxname:160522;;Chaetoceros externus;Gran, 1897;Edited by Database Management Team;uncertain;160522;Chaetoceros externus;Gran, 1897;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;externus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros externus Gran, 1897. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160522 on 2019-01-31;;
Pleurosigma elongatum;;Pleurosigma elongatum;149503;exact;urn:lsid:marinespecies.org:taxname:149503;4594;Pleurosigma elongatum;W.Smith, 1852;Edited by Database Management Team;accepted;149503;Pleurosigma elongatum;W.Smith, 1852;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Pleurosigma;;elongatum;;1;1;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Pleurosigma elongatum W.Smith, 1852. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149503 on 2019-01-31;;
Lagerheimia;;Lagerheimia;178609;exact;urn:lsid:marinespecies.org:taxname:178609;;Lagerheimia;R.Chodat, 1895;Checked by Taxonomic Editor;accepted;178609;Lagerheimia;R.Chodat, 1895;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Lagerheimia;;;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Lagerheimia R.Chodat, 1895. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=178609 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Mallomonas;;Mallomonas;249721;exact;urn:lsid:marinespecies.org:taxname:249721;1598;Mallomonas;Perty, 1852;Checked by Taxonomic Editor;accepted;249721;Mallomonas;Perty, 1852;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;;;;1;;1;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mallomonas Perty, 1852. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=249721 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Coscinodiscus curvatulus;;Coscinodiscus curvatulus;149266;exact;urn:lsid:marinespecies.org:taxname:149266;;Coscinodiscus curvatulus;Grunow ex A.Schmidt, 1878;Edited by Database Management Team;accepted;149266;Coscinodiscus curvatulus;Grunow ex A.Schmidt, 1878;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;;curvatulus;;1;1;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Coscinodiscus curvatulus Grunow ex A.Schmidt, 1878. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149266 on 2019-01-31;;
Rhizosolenia similoides;;Rhizosolenia similoides;160531;exact;urn:lsid:marinespecies.org:taxname:160531;;Rhizosolenia similoides;Cleve-Euler, 1951;Edited by Database Management Team;uncertain;160531;Rhizosolenia similoides;Cleve-Euler, 1951;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;similoides;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Rhizosolenia similoides Cleve-Euler, 1951. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160531 on 2019-01-31;;
Podosira;;Podosira;149059;exact;urn:lsid:marinespecies.org:taxname:149059;2384;Podosira;C.G. Ehrenberg, 1840;Edited by Database Management Team;accepted;149059;Podosira;C.G. Ehrenberg, 1840;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Hyalodiscaceae;Podosira;;;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Podosira C.G. Ehrenberg, 1840. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149059 on 2019-01-31;;
Eucampia cornuta;;Eucampia cornuta;248058;exact;urn:lsid:marinespecies.org:taxname:248058;2731;Eucampia cornuta;(Cleve) Grunow, 1883;Edited by Database Management Team;alternate representation;669542;Moelleria cornuta;Cleve, 1873;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Hemiaulaceae;Eucampia;;cornuta;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Eucampia cornuta (Cleve) Grunow, 1883. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=248058 on 2019-01-31;;
