Station;RefDepth;Parameter;Value;Unit;QualityFlag;datetime;Value_mg
W01;3 m;NTRZ;4.8;umol/l;Acceptable;2014-05-05T08:12:00Z;0.06723216
W01;3 m;PHOS;0.26;umol/l;Acceptable;2014-05-05T08:12:00Z;0.00805317812
W01;3 m;PTOT;0.62;umol/l;Acceptable;2014-05-05T08:12:00Z;0.01920373244
W01;3 m;SLCA;5;umol/l;Acceptable;2014-05-05T08:12:00Z;0.1404275
W07;3 m;AMON;3.8;umol/l;Acceptable;2014-05-05T10:11:00Z;0.053225459999999995
W07;3 m;NTOT;35;umol/l;Acceptable;2014-05-05T10:11:00Z;0.4902345
W07;3 m;NTRI;0.06;umol/l;Acceptable;2014-05-05T10:11:00Z;8.40402e-4
W07;3 m;NTRZ;0.67;umol/l;Acceptable;2014-05-05T10:11:00Z;0.009384489000000001
W07;3 m;PHOS;0.49;umol/l;Acceptable;2014-05-05T10:11:00Z;0.01517714338
W07;3 m;PTOT;0.48;umol/l;Acceptable;2014-05-05T10:11:00Z;0.01486740576
W07;3 m;SLCA;1.21;umol/l;Acceptable;2014-05-05T10:11:00Z;0.033983455
W09;3 m;AMON;3.8;umol/l;Acceptable;2014-05-06T12:34:00Z;0.053225459999999995
W09;3 m;NTOT;38;umol/l;Acceptable;2014-05-06T12:34:00Z;0.5322546
W09;3 m;NTRI;0.188;umol/l;Acceptable;2014-05-06T12:34:00Z;0.0026332596
W09;3 m;NTRZ;0.84;umol/l;Acceptable;2014-05-06T12:34:00Z;0.011765628
W09;3 m;PHOS;0.18;umol/l;Acceptable;2014-05-06T12:34:00Z;0.005575277159999999
W09;3 m;PTOT;0.39;umol/l;Acceptable;2014-05-06T12:34:00Z;0.012079767180000001
W09;3 m;SLCA;0.97;umol/l;Acceptable;2014-05-06T12:34:00Z;0.027242935
W10;3 m;AMON;3.3;umol/l;Acceptable;2014-05-06T15:25:00Z;0.046222110000000004
W10;3 m;NTOT;26;umol/l;Acceptable;2014-05-06T15:25:00Z;0.3641742
W10;3 m;NTRI;0.06;umol/l;Acceptable;2014-05-06T15:25:00Z;8.40402e-4
W10;3 m;NTRZ;0.69;umol/l;Acceptable;2014-05-06T15:25:00Z;0.009664622999999999
W10;3 m;PHOS;0.125;umol/l;Acceptable;2014-05-06T15:25:00Z;0.0038717202500000002
W10;3 m;PTOT;0.43;umol/l;Acceptable;2014-05-06T15:25:00Z;0.013318717660000002
W10;3 m;SLCA;0.71;umol/l;Acceptable;2014-05-06T15:25:00Z;0.019940704999999996
W08;3 m;AMON;3.2;umol/l;Acceptable;2014-05-06T17:20:00Z;0.044821440000000004
W08;3 m;NTOT;24;umol/l;Acceptable;2014-05-06T17:20:00Z;0.3361608
W08;3 m;NTRI;0.065;umol/l;Acceptable;2014-05-06T17:20:00Z;9.104355000000001e-4
W08;3 m;NTRZ;0.54;umol/l;Acceptable;2014-05-06T17:20:00Z;0.007563618000000001
W08;3 m;PHOS;0.102;umol/l;Acceptable;2014-05-06T17:20:00Z;0.003159323724
W08;3 m;PTOT;0.28;umol/l;Acceptable;2014-05-06T17:20:00Z;0.008672653360000001
W08;3 m;SLCA;0.65;umol/l;Acceptable;2014-05-06T17:20:00Z;0.018255575
W06;3 m;AMON;3.1;umol/l;Acceptable;2014-05-06T19:02:00Z;0.043420770000000004
W06;3 m;NTOT;27;umol/l;Acceptable;2014-05-06T19:02:00Z;0.3781809
W06;3 m;NTRI;0.06;umol/l;Acceptable;2014-05-06T19:02:00Z;8.40402e-4
W06;3 m;NTRZ;0.68;umol/l;Acceptable;2014-05-06T19:02:00Z;0.009524556
W06;3 m;PHOS;0.23;umol/l;Acceptable;2014-05-06T19:02:00Z;0.00712396526
W06;3 m;PTOT;0.53;umol/l;Acceptable;2014-05-06T19:02:00Z;0.01641609386
W06;3 m;SLCA;1.26;umol/l;Acceptable;2014-05-06T19:02:00Z;0.03538773
